codigo,datahora,prec,cota,vazao
14680001,2025-05-11 13:45:00,2.6,342.0,417.54
14680001,2025-05-11 14:00:00,0.0,342.0,417.54
14680001,2025-05-11 14:15:00,0.0,342.0,417.54
14680001,2025-05-11 14:30:00,0.2,342.0,417.54
14680001,2025-05-11 14:45:00,0.0,342.0,417.54
14680001,2025-05-11 15:00:00,0.0,343.0,419.78
14680001,2025-05-11 15:15:00,0.0,343.0,419.78
14680001,2025-05-11 15:30:00,0.0,343.0,419.78
14680001,2025-05-11 15:45:00,0.0,343.0,419.78
14680001,2025-05-11 16:00:00,0.0,343.0,419.78
14680001,2025-05-11 16:15:00,0.0,344.0,422.02
14680001,2025-05-11 16:30:00,0.0,344.0,422.02
14680001,2025-05-11 16:45:00,0.0,344.0,422.02
14680001,2025-05-11 17:00:00,0.0,344.0,422.02
14680001,2025-05-11 17:15:00,0.0,344.0,422.02
14680001,2025-05-11 17:30:00,0.0,344.0,422.02
14680001,2025-05-11 17:45:00,0.0,344.0,422.02
14680001,2025-05-11 18:00:00,0.0,344.0,422.02
14680001,2025-05-11 18:15:00,0.0,344.0,422.02
14680001,2025-05-11 18:30:00,0.0,345.0,424.27
14680001,2025-05-11 18:45:00,0.0,345.0,424.27
14680001,2025-05-11 19:00:00,0.0,345.0,424.27
14680001,2025-05-11 19:15:00,0.0,345.0,424.27
14680001,2025-05-11 19:30:00,0.0,346.0,426.52
14680001,2025-05-11 19:45:00,0.0,345.0,424.27
14680001,2025-05-11 20:00:00,0.0,346.0,426.52
14680001,2025-05-11 20:15:00,0.0,346.0,426.52
14680001,2025-05-11 20:30:00,0.0,346.0,426.52
14680001,2025-05-11 20:45:00,0.0,346.0,426.52
14680001,2025-05-11 21:00:00,0.0,346.0,426.52
14680001,2025-05-11 21:15:00,0.0,346.0,426.52
14680001,2025-05-11 21:30:00,0.0,347.0,428.78
14680001,2025-05-11 21:45:00,0.0,347.0,428.78
14680001,2025-05-11 22:00:00,0.0,347.0,428.78
14680001,2025-05-11 22:15:00,0.0,347.0,428.78
