codigo,datahora,prec,cota,vazao
14690000,2025-05-12 02:15:00.0,0.00,1271.00,951.51
14690000,2025-05-12 02:30:00.0,0.00,1271.00,951.51
14690000,2025-05-12 02:45:00.0,0.00,1271.00,951.51
14690000,2025-05-12 03:00:00.0,0.00,1271.00,951.51
14690000,2025-05-12 03:15:00.0,0.00,1271.00,951.51
14690000,2025-05-12 03:30:00.0,0.00,1271.00,951.51
14690000,2025-05-12 03:45:00.0,0.00,1270.00,948.96
14690000,2025-05-12 04:00:00.0,0.00,1270.00,948.96
14690000,2025-05-12 04:15:00.0,0.00,1270.00,948.96
14690000,2025-05-12 04:30:00.0,0.00,1270.00,948.96
14690000,2025-05-12 04:45:00.0,0.00,1270.00,948.96
14690000,2025-05-12 05:00:00.0,0.00,1269.00,946.41
14690000,2025-05-12 05:15:00.0,5.20,1270.00,948.96
14690000,2025-05-12 05:30:00.0,3.00,1271.00,951.51
14690000,2025-05-12 05:45:00.0,0.60,1272.00,954.07
14690000,2025-05-12 06:00:00.0,0.20,1272.00,954.07
14690000,2025-05-12 06:15:00.0,0.20,1272.00,954.07
14690000,2025-05-12 06:30:00.0,0.60,1272.00,954.07
14690000,2025-05-12 06:45:00.0,0.40,1272.00,954.07
14690000,2025-05-12 07:00:00.0,0.60,1272.00,954.07
14690000,2025-05-12 07:15:00.0,1.00,1272.00,954.07
14690000,2025-05-12 07:30:00.0,1.00,1272.00,954.07
14690000,2025-05-12 07:45:00.0,1.00,1272.00,954.07
14690000,2025-05-12 08:00:00.0,0.60,1272.00,954.07
14690000,2025-05-12 08:15:00.0,0.40,1272.00,954.07
14690000,2025-05-12 08:30:00.0,0.20,1272.00,954.07
14690000,2025-05-12 08:45:00.0,0.20,1272.00,954.07
14690000,2025-05-12 09:00:00.0,0.00,1272.00,954.07
14690000,2025-05-12 09:15:00.0,0.00,1271.00,951.51
14690000,2025-05-12 09:30:00.0,0.00,1271.00,951.51
14690000,2025-05-12 09:45:00.0,0.00,1271.00,951.51
14690000,2025-05-12 10:00:00.0,0.00,1271.00,951.51
14690000,2025-05-12 10:15:00.0,0.00,1270.00,948.96
14690000,2025-05-12 10:30:00.0,0.00,1271.00,951.51
14690000,2025-05-12 10:45:00.0,0.00,1271.00,951.51
14690000,2025-05-12 11:00:00.0,0.00,1271.00,951.51
14690000,2025-05-12 11:15:00.0,0.00,1271.00,951.51
14690000,2025-05-12 11:30:00.0,0.00,1270.00,948.96
14690000,2025-05-12 11:45:00.0,0.00,1270.00,948.96
14690000,2025-05-12 12:00:00.0,0.00,1270.00,948.96
14690000,2025-05-12 12:15:00.0,0.00,1270.00,948.96
14690000,2025-05-12 12:30:00.0,0.00,1270.00,948.96
14690000,2025-05-12 12:45:00.0,0.00,1269.00,946.41
14690000,2025-05-12 13:00:00.0,0.00,1269.00,946.41
14690000,2025-05-12 13:15:00.0,0.00,1269.00,946.41
14690000,2025-05-12 13:30:00.0,0.00,1269.00,946.41
