codigo,datahora,prec,cota,vazao
14710000,2025-05-11 13:45:00,0.0,604.0,5954.25
14710000,2025-05-11 14:00:00,0.0,604.0,5954.25
14710000,2025-05-11 14:15:00,0.0,604.0,5954.25
14710000,2025-05-11 14:30:00,0.0,604.0,5954.25
14710000,2025-05-11 14:45:00,0.0,604.0,5954.25
14710000,2025-05-11 15:00:00,0.0,605.0,5968.99
14710000,2025-05-11 15:15:00,0.0,605.0,5968.99
14710000,2025-05-11 15:30:00,0.0,606.0,5983.76
14710000,2025-05-11 15:45:00,0.0,605.0,5968.99
14710000,2025-05-11 16:00:00,0.0,606.0,5983.76
14710000,2025-05-11 16:15:00,0.0,606.0,5983.76
14710000,2025-05-11 16:30:00,0.0,606.0,5983.76
14710000,2025-05-11 16:45:00,0.0,607.0,5998.54
14710000,2025-05-11 17:00:00,0.0,607.0,5998.54
14710000,2025-05-11 17:15:00,0.0,606.0,5983.76
14710000,2025-05-11 17:30:00,0.0,606.0,5983.76
14710000,2025-05-11 17:45:00,0.0,606.0,5983.76
14710000,2025-05-11 18:00:00,0.0,607.0,5998.54
14710000,2025-05-11 18:15:00,0.0,607.0,5998.54
14710000,2025-05-11 18:30:00,0.0,608.0,6013.34
14710000,2025-05-11 18:45:00,0.0,608.0,6013.34
14710000,2025-05-11 19:00:00,0.0,607.0,5998.54
14710000,2025-05-11 19:15:00,0.0,607.0,5998.54
14710000,2025-05-11 19:30:00,0.0,608.0,6013.34
14710000,2025-05-11 19:45:00,0.0,607.0,5998.54
14710000,2025-05-11 20:00:00,0.0,608.0,6013.34
14710000,2025-05-11 20:15:00,0.2,608.0,6013.34
14710000,2025-05-11 20:30:00,0.0,609.0,6028.16
14710000,2025-05-11 20:45:00,0.0,609.0,6028.16
14710000,2025-05-11 21:00:00,0.0,609.0,6028.16
14710000,2025-05-11 21:15:00,0.2,609.0,6028.16
14710000,2025-05-11 21:30:00,0.0,609.0,6028.16
14710000,2025-05-11 21:45:00,0.2,609.0,6028.16
14710000,2025-05-11 22:00:00,0.0,610.0,6043.0
14710000,2025-05-11 22:15:00,0.0,610.0,6043.0
14710000,2025-05-11 22:30:00,0.0,610.0,6043.0
14710000,2025-05-11 22:45:00,0.0,610.0,6043.0
14710000,2025-05-11 23:00:00,0.0,610.0,6043.0
14710000,2025-05-11 23:15:00,0.0,610.0,6043.0
14710000,2025-05-11 23:30:00,0.0,611.0,6057.87
14710000,2025-05-11 23:45:00,0.0,610.0,6043.0
14710000,2025-05-11 14:15:00.0,0.00,604.00,5954.25
14710000,2025-05-11 14:30:00.0,0.00,604.00,5954.25
14710000,2025-05-11 14:45:00.0,0.00,604.00,5954.25
14710000,2025-05-11 15:00:00.0,0.00,605.00,5968.99
14710000,2025-05-11 15:15:00.0,0.00,605.00,5968.99
14710000,2025-05-11 15:30:00.0,0.00,606.00,5983.76
14710000,2025-05-11 15:45:00.0,0.00,605.00,5968.99
14710000,2025-05-11 16:00:00.0,0.00,606.00,5983.76
14710000,2025-05-11 16:15:00.0,0.00,606.00,5983.76
14710000,2025-05-11 16:30:00.0,0.00,606.00,5983.76
14710000,2025-05-11 16:45:00.0,0.00,607.00,5998.54
14710000,2025-05-11 17:00:00.0,0.00,607.00,5998.54
14710000,2025-05-11 17:15:00.0,0.00,606.00,5983.76
14710000,2025-05-11 17:30:00.0,0.00,606.00,5983.76
14710000,2025-05-11 17:45:00.0,0.00,606.00,5983.76
14710000,2025-05-11 18:00:00.0,0.00,607.00,5998.54
14710000,2025-05-11 18:15:00.0,0.00,607.00,5998.54
14710000,2025-05-11 18:30:00.0,0.00,608.00,6013.34
14710000,2025-05-11 18:45:00.0,0.00,608.00,6013.34
14710000,2025-05-11 19:00:00.0,0.00,607.00,5998.54
14710000,2025-05-11 19:15:00.0,0.00,607.00,5998.54
14710000,2025-05-11 19:30:00.0,0.00,608.00,6013.34
14710000,2025-05-11 19:45:00.0,0.00,607.00,5998.54
14710000,2025-05-11 20:00:00.0,0.00,608.00,6013.34
14710000,2025-05-11 20:15:00.0,0.20,608.00,6013.34
14710000,2025-05-11 20:30:00.0,0.00,609.00,6028.16
14710000,2025-05-11 20:45:00.0,0.00,609.00,6028.16
14710000,2025-05-11 21:00:00.0,0.00,609.00,6028.16
14710000,2025-05-11 21:15:00.0,0.20,609.00,6028.16
14710000,2025-05-11 21:30:00.0,0.00,609.00,6028.16
14710000,2025-05-11 21:45:00.0,0.20,609.00,6028.16
14710000,2025-05-11 22:00:00.0,0.00,610.00,6043.00
14710000,2025-05-11 22:15:00.0,0.00,610.00,6043.00
14710000,2025-05-11 22:30:00.0,0.00,610.00,6043.00
14710000,2025-05-11 22:45:00.0,0.00,610.00,6043.00
14710000,2025-05-11 23:00:00.0,0.00,610.00,6043.00
14710000,2025-05-11 23:15:00.0,0.00,610.00,6043.00
14710000,2025-05-11 23:30:00.0,0.00,611.00,6057.87
