codigo,datahora,prec,cota,vazao
14527000,2025-05-11 13:45:00,0.0,832.0,947.55
14527000,2025-05-11 14:00:00,0.0,832.0,947.55
14527000,2025-05-11 14:15:00,0.0,832.0,947.55
14527000,2025-05-11 14:30:00,0.0,830.0,940.7
14527000,2025-05-11 14:45:00,0.0,830.0,940.7
14527000,2025-05-11 15:00:00,0.0,829.0,937.28
14527000,2025-05-11 15:15:00,0.0,829.0,937.28
14527000,2025-05-11 15:30:00,0.0,828.0,933.87
14527000,2025-05-11 15:45:00,0.0,827.0,930.46
14527000,2025-05-11 16:00:00,0.0,827.0,930.46
14527000,2025-05-11 16:15:00,0.0,827.0,930.46
14527000,2025-05-11 16:30:00,0.0,826.0,927.06
14527000,2025-05-11 16:45:00,0.0,826.0,927.06
14527000,2025-05-11 17:00:00,0.0,825.0,923.66
14527000,2025-05-11 17:15:00,0.0,825.0,923.66
14527000,2025-05-11 17:30:00,0.0,824.0,920.27
14527000,2025-05-11 17:45:00,0.0,824.0,920.27
14527000,2025-05-11 18:00:00,0.0,823.0,916.89
14527000,2025-05-11 18:15:00,0.0,822.0,913.51
14527000,2025-05-11 18:30:00,0.0,822.0,913.51
14527000,2025-05-11 18:45:00,0.0,821.0,910.14
14527000,2025-05-11 19:00:00,0.0,821.0,910.14
14527000,2025-05-11 19:15:00,0.0,820.0,906.77
14527000,2025-05-11 19:30:00,0.0,820.0,906.77
14527000,2025-05-11 19:45:00,0.0,819.0,903.41
14527000,2025-05-11 20:00:00,0.0,818.0,900.05
14527000,2025-05-11 20:15:00,0.0,818.0,900.05
14527000,2025-05-11 20:30:00,0.0,817.0,896.7
14527000,2025-05-11 20:45:00,0.0,817.0,896.7
14527000,2025-05-11 21:00:00,0.0,817.0,896.7
14527000,2025-05-11 21:15:00,0.0,816.0,893.36
14527000,2025-05-11 21:30:00,0.0,816.0,893.36
14527000,2025-05-11 21:45:00,0.0,815.0,890.02
14527000,2025-05-11 22:00:00,0.0,814.0,886.69
14527000,2025-05-11 22:15:00,0.0,814.0,886.69
14527000,2025-05-11 22:30:00,0.0,813.0,883.36
14527000,2025-05-11 22:45:00,0.0,813.0,883.36
14527000,2025-05-11 23:00:00,0.0,812.0,880.04
14527000,2025-05-11 23:15:00,0.0,812.0,880.04
14527000,2025-05-11 23:30:00,0.0,811.0,876.72
14527000,2025-05-11 23:45:00,0.0,811.0,876.72
14527000,2025-05-11 14:15:00.0,0.00,832.00,947.55
14527000,2025-05-11 14:30:00.0,0.00,830.00,940.70
14527000,2025-05-11 14:45:00.0,0.00,830.00,940.70
14527000,2025-05-11 15:00:00.0,0.00,829.00,937.28
14527000,2025-05-11 15:15:00.0,0.00,829.00,937.28
14527000,2025-05-11 15:30:00.0,0.00,828.00,933.87
14527000,2025-05-11 15:45:00.0,0.00,827.00,930.46
14527000,2025-05-11 16:00:00.0,0.00,827.00,930.46
14527000,2025-05-11 16:15:00.0,0.00,827.00,930.46
14527000,2025-05-11 16:30:00.0,0.00,826.00,927.06
14527000,2025-05-11 16:45:00.0,0.00,826.00,927.06
14527000,2025-05-11 17:00:00.0,0.00,825.00,923.66
14527000,2025-05-11 17:15:00.0,0.00,825.00,923.66
14527000,2025-05-11 17:30:00.0,0.00,824.00,920.27
14527000,2025-05-11 17:45:00.0,0.00,824.00,920.27
14527000,2025-05-11 18:00:00.0,0.00,823.00,916.89
14527000,2025-05-11 18:15:00.0,0.00,822.00,913.51
14527000,2025-05-11 18:30:00.0,0.00,822.00,913.51
14527000,2025-05-11 18:45:00.0,0.00,821.00,910.14
14527000,2025-05-11 19:00:00.0,0.00,821.00,910.14
14527000,2025-05-11 19:15:00.0,0.00,820.00,906.77
14527000,2025-05-11 19:30:00.0,0.00,820.00,906.77
14527000,2025-05-11 19:45:00.0,0.00,819.00,903.41
14527000,2025-05-11 20:00:00.0,0.00,818.00,900.05
14527000,2025-05-11 20:15:00.0,0.00,818.00,900.05
14527000,2025-05-11 20:30:00.0,0.00,817.00,896.70
